feature,coefficient,abs_coefficient,selected
radius_worst,0.5081060886340393,0.5081060886340393,True
area_worst,-0.3233016497620735,0.3233016497620735,True
compactness_mean,-0.14651911020838512,0.14651911020838512,True
concave points_mean,0.13730767685725964,0.13730767685725964,True
radius_se,0.13272539797744554,0.13272539797744554,True
concavity_worst,0.103027358652516,0.103027358652516,True
area_se,-0.08185982247522737,0.08185982247522737,False
concavity_se,-0.07786653867372287,0.07786653867372287,False
fractal_dimension_worst,0.06996995052320816,0.06996995052320816,False
concave points_se,0.06518002126681194,0.06518002126681194,False
symmetry_worst,0.06392790030284251,0.06392790030284251,False
texture_worst,0.05590784577116468,0.05590784577116468,False
compactness_se,-0.044166344655898894,0.044166344655898894,False
concavity_mean,0.04144252472961235,0.04144252472961235,False
smoothness_se,0.038315667146982244,0.038315667146982244,False
smoothness_worst,0.017798866951064397,0.017798866951064397,False
texture_mean,0.012925383639373846,0.012925383639373846,False
symmetry_mean,-0.011993015291225975,0.011993015291225975,False
fractal_dimension_se,-0.01111961175844827,0.01111961175844827,False
area_mean,-0.010365315863287459,0.010365315863287459,False
symmetry_se,-0.0029249771497241637,0.0029249771497241637,False
fractal_dimension_mean,-0.0012724131338520768,0.0012724131338520768,False
compactness_worst,-0.0,0.0,False
perimeter_mean,0.0,0.0,False
concave points_worst,-0.0,0.0,False
perimeter_se,-0.0,0.0,False
smoothness_mean,-0.0,0.0,False
perimeter_worst,0.0,0.0,False
texture_se,-0.0,0.0,False
radius_mean,0.0,0.0,False
